real_world_harm,n,irreversible_tools,capabilities,rule_of_two_rate
security_and_system_integrity_harm,113,1.6725663716814159,2.1238938053097347,0.37168141592920356
functional_and_opportunity_harm,52,1.5192307692307692,1.9038461538461537,0.34615384615384615
fairness_equity_and_allocative_harm,42,1.2380952380952381,2.119047619047619,0.40476190476190477
info_ecosystem_and_societal_harm,43,1.0930232558139534,2.1627906976744184,0.46511627906976744
reputational_and_interpersonal_harm,33,1.0606060606060606,2.121212121212121,0.3939393939393939
public_service_and_resource_harm,42,1.0476190476190477,1.9523809523809523,0.35714285714285715
privacy_and_confidentiality_harm,62,0.9516129032258065,1.7096774193548387,0.20967741935483872
psychological_and_emotional_harm,25,0.92,1.72,0.24
financial_and_economic_harm,45,0.8222222222222222,1.6888888888888889,0.2
physical_and_health_harm,40,0.55,1.275,0.175
