deployment,n_episodes,truth,pred_prior,abs_err_prior,abs_err_own_1,abs_err_own_2,abs_err_own_3,abs_err_own_5,abs_err_own_8,abs_err_own_12,abs_err_own_20,abs_err_own_35,abs_err_own_60
marshmallow-code__apispec,261,0.48854961832061067,0.6101339154527518,0.12158429713214108,0.48854961832061067,0.011450381679389332,0.15521628498727735,0.28854961832061066,0.011450381679389332,0.0947837150127227,0.011450381679389332,0.0028353326063249584,0.021882951653943994
marshmallow-code__marshmallow,131,0.2727272727272727,0.6106216859421318,0.33789441321485914,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.0727272727272727,0.022727272727272707,0.14393939393939398,0.07727272727272727,0.09870129870129873,0.07727272727272727
tkrajina__gpxpy,144,0.6944444444444444,0.608655693875846,0.08578875056859847,0.6944444444444444,0.19444444444444442,0.02777777777777779,0.2944444444444444,0.4444444444444444,0.27777777777777773,0.2444444444444444,0.06587301587301586,0.0444444444444444
facelessuser__soupsieve,125,0.6825396825396826,0.6087990983846058,0.07374058415507678,0.6825396825396826,0.18253968253968256,0.34920634920634924,0.48253968253968255,0.30753968253968256,0.09920634920634919,0.032539682539682535,0.053968253968254,0.06587301587301586
joke2k__faker,226,0.5132743362831859,0.6101190476190477,0.09684471133586181,0.48672566371681414,0.48672566371681414,0.48672566371681414,0.08672566371681412,0.11172566371681414,0.07005899705014751,0.013274336283185861,0.027560050568900152,0.013274336283185861
Project-MONAI__MONAI,1023,0.99609375,0.5920898564551802,0.4040038935448198,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.00390625,0.02466517857142858,0.012760416666666718
pydata__patsy,194,0.5051546391752577,0.6097622237106497,0.10460758453539198,0.4948453608247423,0.4948453608247423,0.4948453608247423,0.4948453608247423,0.2448453608247423,0.07817869415807566,0.005154639175257714,0.048011782032400585,0.021821305841924377
pallets__jinja,194,0.5257731958762887,0.6093436034829203,0.08357040760663159,0.4742268041237113,0.02577319587628868,0.19243986254295536,0.0742268041237113,0.22422680412371132,0.22422680412371132,0.024226804123711365,0.0742268041237113,0.09089347079037802
weaveworks__grafanalib,172,0.26744186046511625,0.6115014638226683,0.3440596033575521,0.26744186046511625,0.26744186046511625,0.26744186046511625,0.26744186046511625,0.26744186046511625,0.26744186046511625,0.11744186046511626,0.010299003322259137,0.0007751937984495916
jd__tenacity,209,0.47619047619047616,0.6106061240732208,0.13441564788274463,0.5238095238095238,0.5238095238095238,0.19047619047619047,0.07619047619047614,0.023809523809523836,0.05952380952380948,0.1261904761904762,0.1333333333333333,0.0928571428571428
dask__dask,583,0.5034246575342466,0.612153708668454,0.10872905113420739,0.5034246575342466,0.5034246575342466,0.17009132420091327,0.10342465753424657,0.1284246575342466,0.17009132420091327,0.10342465753424657,0.13199608610567515,0.0867579908675799
